City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,banda aceh,5.5577,95.3222,25.87,78,100,5.01,ID,1672365552
213,halifax,44.6453,-63.5724,0.0,82,78,3.6,CA,1672365397
214,mayumba,-3.432,10.6554,25.03,91,100,1.48,GA,1672365553
215,belmonte,-15.8631,-38.8828,24.09,85,43,2.31,BR,1672365554
216,kaka,37.3482,59.6143,5.16,57,0,3.38,TM,1672365555
217,qaanaaq,77.484,-69.3632,-31.55,71,21,2.64,GL,1672365556
218,takoradi,4.8845,-1.7554,25.89,83,89,0.13,GH,1672365556
219,saint anthony,45.0205,-93.218,-0.03,86,100,5.66,US,1672365557
220,namatanai,-3.6667,152.4333,29.38,67,100,4.27,PG,1672365558
221,ballina,-28.8667,153.5667,22.66,99,75,5.76,AU,1672365558
222,jiwani,25.05,61.7417,18.49,44,0,8.12,PK,1672365559
223,faanui,-16.4833,-151.75,27.51,72,27,6.0,PF,1672365560
224,christchurch,-43.5333,172.6333,16.11,72,75,6.17,NZ,1672365561
225,union,40.6334,-74.2663,8.27,66,0,3.09,US,1672365562
226,salalah,17.0151,54.0924,20.37,42,52,6.09,OM,1672365347
227,tamiahua,21.2667,-97.45,20.84,84,100,3.77,MX,1672365563
228,davidson,36.1501,-86.7833,16.39,78,0,4.02,US,1672365315
229,korla,41.7597,86.1469,-9.83,69,0,1.14,CN,1672365564
230,alaverdi,41.0977,44.6732,-0.2,77,4,0.85,AM,1672365565
231,magadan,59.5667,150.8,-19.87,75,1,4.19,RU,1672365566
232,mazatlan,23.2167,-106.4167,23.34,89,67,1.34,MX,1672365377
233,atar,20.5169,-13.0499,22.46,27,62,13.44,MR,1672365567
234,pevek,69.7008,170.3133,-32.75,100,100,2.58,RU,1672365568
235,la union,-5.4,-80.75,22.85,70,35,6.07,PE,1672365569
236,strathmore,51.0501,-113.3852,-5.92,96,100,4.63,CA,1672365570
237,carnarvon,-24.8667,113.6333,30.66,37,0,7.62,AU,1672365570
238,tevaitoa,-16.7833,-151.5,27.5,73,18,6.2,PF,1672365571
239,comodoro rivadavia,-45.8667,-67.5,17.92,42,0,1.03,AR,1672365572
